subject,trial,condition,channel,z_score,std,median,mad,iqr
OC01,Trial102,inner_speech,for,0.12978091205188202,1.1458241169229249,-0.12482901372846117,0.713696473778107,1.5032824582928521
OC01,Trial102,inner_speech,fro,-0.027856757083951824,0.9640498984479636,-0.223743250550566,0.637435412191007,1.3300610635112924
OC01,Trial102,inner_speech,nek,0.05591280271271161,1.030966551247944,-0.14441467774927963,0.6963581399955969,1.435754276564598
OC01,Trial102,inner_speech,ooi,1.1208480187239267,1.9166197151154254,0.6991066614841366,1.2180069761524361,2.5782430761167863
OC01,Trial102,inner_speech,zyg,-0.08175092812184011,0.9311176375377059,-0.26486396118094013,0.6072422401365518,1.2627490045097858
OC01,Trial105,inner_speech,for,0.008427283465033738,1.0159637722294332,-0.2048882356543173,0.6679096412669437,1.3966265680839238
OC01,Trial105,inner_speech,fro,0.0067894395898976554,1.0203390163767985,-0.20769397790185526,0.6647015300465243,1.3783617345380481
OC01,Trial105,inner_speech,nek,0.020127829656459234,1.027423551271434,-0.1791934782768002,0.6858266707543295,1.4183750195294018
OC01,Trial105,inner_speech,ooi,1.0575136044320246,1.9054354984232305,0.6095646365167584,1.1563169953829426,2.429728925515764
OC01,Trial105,inner_speech,zyg,-0.14841960110230165,0.8830156426195642,-0.33030430879911643,0.5939126815806048,1.2211667562792654
OC01,Trial107,inner_speech,for,0.00879347297827919,1.0248042906211623,-0.20189678759863522,0.6586861752920561,1.3663507060416091
OC01,Trial107,inner_speech,fro,-0.03885973937752909,1.0053298627958949,-0.2730496931707649,0.6294766462050555,1.3263154344558754
OC01,Trial107,inner_speech,nek,0.016049992329284876,0.9975628548446992,-0.19037285819293823,0.6636867573502738,1.38369218967732
OC01,Trial107,inner_speech,ooi,0.8619806918224542,1.6729794099472013,0.49488907193507964,1.0840205536450391,2.2645086961603367
OC01,Trial107,inner_speech,zyg,-0.12241960542146746,0.9081818592502601,-0.31132157256745113,0.5954872525290446,1.2425714375937476
OC01,Trial10,control_baseline,for,-0.017622791740390557,0.9700117444796656,-0.21503340721938652,0.6440698612977457,1.3414910648595078
OC01,Trial10,control_baseline,fro,0.013514806795090309,1.0155170473199717,-0.20509240117722305,0.6524326150896327,1.3885035363192961
OC01,Trial10,control_baseline,nek,-0.043904616576083806,0.9644422844150543,-0.24061244305883409,0.642250948904741,1.3443690646600484
OC01,Trial10,control_baseline,ooi,-0.02066979472506575,0.986208903497554,-0.2300155099702031,0.6540180367177066,1.3729895012106852
OC01,Trial10,control_baseline,zyg,-0.06714811099999606,0.9517568687926297,-0.2659845203254858,0.6257689528100118,1.3044461241920895
OC01,Trial111,inner_speech,for,0.037355017322111266,1.0074778981387722,-0.1646508883177885,0.6823128402955094,1.4162077375661584
OC01,Trial111,inner_speech,fro,-0.00719904503731872,0.9968593442553513,-0.2174674544261903,0.659305885061132,1.4004905645446808
OC01,Trial111,inner_speech,nek,0.00267122889894055,1.0153051138884794,-0.1926205009954705,0.6650152619952456,1.3874570296550495
OC01,Trial111,inner_speech,ooi,0.7225833116653436,1.5534286806244098,0.3879770604640175,1.0057750889984909,2.1238986603868493
OC01,Trial111,inner_speech,zyg,-0.1145049756119605,0.9289859828804581,-0.3016146623568283,0.6046839320370647,1.2665580515670207
OC01,Trial112,inner_speech,for,0.025061160629522364,1.037729654839355,-0.19993728135582078,0.6627383874210706,1.3856469311419617
OC01,Trial112,inner_speech,fro,-0.04760086591974069,0.9786696188069197,-0.25554027227404263,0.6388087063551954,1.3388478119049096
OC01,Trial112,inner_speech,nek,0.03128130235496061,1.0191756826390128,-0.1667404012161724,0.6613484756592989,1.3864393436748002
OC01,Trial112,inner_speech,ooi,0.80187059738693,1.597452661253838,0.4333992913101625,1.0045285856937953,2.1245878778666536
OC01,Trial112,inner_speech,zyg,-0.0856775379187325,0.9432259448588753,-0.2920724944519436,0.6117003335604364,1.2993765667292083
